Epoch;Iterations;Time [s];Data;G_GAN;G_L1;D_real;D_fake
5;19088;0.003;0.012;0.324;2.937;0.175;0.204
5;19488;0.003;0.059;0.402;3.932;0.224;0.162
5;19888;0.003;0.068;0.383;3.346;0.208;0.249
5;20288;0.005;0.109;0.323;2.974;0.183;0.235
5;20688;0.004;0.008;0.421;3.959;0.178;0.253
5;21088;0.003;0.006;0.468;3.202;0.143;0.237
5;21488;0.003;0.010;0.314;2.796;0.182;0.272
5;21888;0.003;0.078;0.346;3.293;0.181;0.191
5;22288;0.006;0.007;0.381;2.725;0.171;0.216
5;22688;0.004;0.010;0.291;3.197;0.156;0.274
5;23088;0.004;0.009;0.362;3.680;0.241;0.156
5;23488;0.003;0.112;0.474;2.863;0.162;0.289
5;23888;0.003;0.006;0.304;3.696;0.216;0.257
5;24288;0.005;0.006;0.573;3.272;0.072;0.333
5;24688;0.004;0.006;0.426;3.157;0.207;0.211
5;25088;0.003;0.067;0.282;3.166;0.433;0.082
5;25488;0.003;0.038;0.433;3.464;0.120;0.339
5;25888;0.003;0.008;0.325;3.724;0.289;0.168
5;26288;0.006;0.006;0.332;2.873;0.167;0.239
5;26688;0.003;0.008;0.635;3.762;0.062;0.342
5;27088;0.004;0.007;0.200;3.903;0.276;0.140
5;27488;0.003;0.010;0.255;3.606;0.292;0.161
5;27888;0.004;0.008;0.431;3.755;0.181;0.218
5;28288;0.005;0.074;0.313;3.515;0.205;0.234
5;28688;0.004;0.006;0.377;3.562;0.191;0.191
5;29088;0.004;0.006;0.284;2.621;0.237;0.168
5;29488;0.003;0.006;0.382;3.440;0.134;0.265
5;29888;0.003;0.110;0.372;3.107;0.173;0.174
5;30288;0.005;0.006;0.339;3.443;0.189;0.220
5;30688;0.004;0.006;0.231;3.355;0.430;0.110
6;160;0.005;0.010;0.313;2.734;0.160;0.273
6;560;0.004;0.006;0.304;2.857;0.251;0.211
6;960;0.003;0.005;0.242;3.030;0.289;0.181
6;1360;0.005;0.044;0.459;3.086;0.190;0.257
6;1760;0.004;0.005;0.298;2.972;0.260;0.231
6;2160;0.003;0.005;0.432;2.841;0.137;0.235
6;2560;0.003;0.008;0.287;3.015;0.278;0.183
6;2960;0.003;0.059;0.324;3.124;0.227;0.188
6;3360;0.006;0.006;0.406;3.709;0.157;0.287
6;3760;0.003;0.007;0.434;2.825;0.118;0.277
6;4160;0.003;0.007;0.548;3.203;0.151;0.340
6;4560;0.003;0.084;0.293;3.046;0.229;0.237
6;4960;0.003;0.006;0.553;3.369;0.137;0.274
6;5360;0.006;0.008;0.263;3.632;0.227;0.240
6;5760;0.003;0.007;0.215;2.899;0.327;0.167
6;6160;0.004;0.010;0.204;2.917;0.232;0.178
6;6560;0.003;0.011;0.271;3.147;0.273;0.235
6;6960;0.003;0.009;0.406;3.478;0.231;0.229
6;7360;0.007;0.006;0.235;3.389;0.351;0.126
6;7760;0.003;0.008;0.376;3.130;0.125;0.277
6;8160;0.004;0.008;0.269;3.327;0.274;0.156
6;8560;0.003;0.106;0.422;3.535;0.211;0.270
6;8960;0.004;0.006;0.291;3.510;0.294;0.141
6;9360;0.005;0.027;0.176;3.491;0.270;0.192
6;9760;0.004;0.010;0.542;3.213;0.130;0.240
6;10160;0.003;0.087;0.314;3.112;0.259;0.217
6;10560;0.003;0.005;0.316;3.265;0.248;0.151
6;10960;0.003;0.019;0.355;3.328;0.238;0.172
6;11360;0.005;0.007;0.439;3.984;0.149;0.275
6;11760;0.003;0.036;0.387;3.186;0.175;0.260
6;12160;0.004;0.006;0.370;3.097;0.372;0.075
6;12560;0.004;0.007;0.420;3.017;0.145;0.250
6;12960;0.004;0.006;0.241;2.511;0.357;0.136
6;13360;0.006;0.075;0.391;2.861;0.156;0.229
6;13760;0.003;0.006;0.269;3.365;0.382;0.119
6;14160;0.004;0.007;0.251;3.035;0.427;0.090
6;14560;0.003;0.006;0.470;3.115;0.102;0.339
6;14960;0.003;0.094;0.497;3.675;0.134;0.307
6;15360;0.005;0.009;0.492;3.066;0.181;0.331
6;15760;0.003;0.007;0.379;3.056;0.230;0.183
6;16160;0.003;0.042;0.244;3.043;0.238;0.185
6;16560;0.003;0.007;0.346;3.467;0.222;0.225
6;16960;0.004;0.008;0.305;3.815;0.254;0.171
6;17360;0.005;0.103;0.554;3.323;0.115;0.329
6;17760;0.004;0.010;0.299;3.329;0.349;0.121
6;18160;0.004;0.006;0.278;3.001;0.257;0.172
6;18560;0.004;0.006;0.424;3.598;0.166;0.251
6;18960;0.003;0.095;0.613;3.251;0.295;0.343
6;19360;0.005;0.006;0.657;3.608;0.097;0.253
6;19760;0.004;0.007;0.398;3.376;0.189;0.189
6;20160;0.004;0.007;0.372;3.223;0.160;0.296
6;20560;0.003;0.025;0.337;3.508;0.247;0.213
6;20960;0.003;0.046;0.325;2.836;0.219;0.174
6;21360;0.005;0.007;0.457;3.725;0.220;0.193
6;21760;0.004;0.009;0.258;3.221;0.266;0.192
6;22160;0.004;0.012;0.298;3.975;0.239;0.197
6;22560;0.004;0.011;0.291;3.222;0.364;0.145
6;22960;0.003;0.087;0.336;3.326;0.160;0.279
